x,y,value
153,107,0.17246835371806907
66,33,0.05500663342486276
149,54,0.11558043969505392
109,82,0.05870645560041208
111,39,0.13453342071158125
125,62,0.07751140325657722
150,113,0.12992398928597806
120,37,0.13491710153501998
107,62,0.14053836786742493
101,125,0.09280179497238458
131,44,0.11047038771394446
115,12,0.07862632715189737
100,122,0.1101358703256879
113,134,0.03809513664973751
75,78,0.0835045055766825
125,25,0.06527616060481976
105,17,0.05750812259661535
129,62,0.10186320402855799
100,103,0.06960877778131959
108,62,0.13588917504530237
115,140,0.06764445845999392
115,17,0.05819689365338806
129,111,0.13356989412799
151,62,0.1103516050006272
121,96,0.1397580069623477
153,97,0.15394994325379552
107,96,0.14434919933380363
151,65,0.139428003611717
135,52,0.09060325539784113
130,34,0.0751620660444588
76,13,0.06200200713886776
128,108,0.08087259453968174
116,38,0.13700195499543247
121,140,0.06644453717941237
117,94,0.14784748480681997
145,72,0.1433566281398101
131,77,0.0655057352509082
59,71,0.05490282906472037
120,19,0.05946567758192144
106,70,0.13307514995012748
96,91,0.10663646615214373
113,26,0.07527028788680692
141,77,0.12246056523156676
97,107,0.0742727399509266
143,64,0.09104318760560899
124,101,0.13581747601467906
58,70,0.047189872499733436
67,29,0.0715995777473131
130,102,0.08282645988665877
122,97,0.13983557455824946
129,71,0.07977498735421842
121,23,0.044002239687625226
113,70,0.13924555039122408
84,17,0.07427139610102226
79,79,0.07448204457793701
69,18,0.07438915270680312
75,23,0.0722031363682793
124,104,0.13416797028263847
142,59,0.08575647500962136
121,113,0.17048323717711775
110,59,0.1124630234120185
112,58,0.11653486363385793
107,126,0.04038711798327151
148,86,0.13505698182828343
134,71,0.10145194609369551
114,111,0.14414953991151333
123,97,0.13531835641498072
96,56,0.15212198917722053
81,30,0.060702392419983674
107,109,0.11885817467512025
136,117,0.07540052512378884
87,102,0.042089000244412214
72,34,0.06027534068284392
115,69,0.10476707995203682
111,98,0.14383029400816716
107,31,0.061162856098926556
105,65,0.13505320443400892
95,107,0.07679656834348887
147,85,0.13304246908914238
79,34,0.05882037893106556
125,136,0.08542580256236945
121,114,0.16209329759090446
82,95,0.0682241902786247
120,95,0.1404764795146476
54,53,0.08583831103953696
149,88,0.13695603907095233
78,70,0.06688198194776049
122,96,0.14021916200082887
120,118,0.07456634527902592
100,33,0.07370658709167013
130,43,0.10970839124409312
152,110,0.1712005712228652
103,128,0.07997912980333029
88,9,0.08801499905311715
100,16,0.03630448813632885
