x,y,value
612,64,0.15455635334953158
806,195,0.16771192728265458
235,208,0.1587304932555374
645,25,0.15501334769612987
305,152,0.12096325534668799
153,245,0.10147473961666764
462,9,0.08526141717383208
755,112,0.1074319649034318
698,54,0.15209404200058266
293,209,0.09132535615063442
329,121,0.16252587702490023
598,96,0.15777910843727053
269,128,0.09019272617092247
567,97,0.07527876960799484
459,44,0.081691101431563
247,246,0.14866016300938723
411,89,0.13542209333372685
304,189,0.10182242406012981
361,146,0.14414862926494473
459,84,0.10052655731270695
604,25,0.12231176576293232
228,247,0.15098928223395444
709,75,0.06249864324397041
408,57,0.09777609629537105
672,38,0.10954898376199358
654,73,0.15530603972002816
284,146,0.10654948649884076
304,198,0.05813047749793358
198,288,0.1549896357593736
491,38,0.1005552342745945
310,185,0.1008727445887426
195,337,0.10080143271691097
492,39,0.09855498735750352
641,43,0.1495438392944231
498,67,0.112778340245933
214,244,0.17100838187546377
196,277,0.1392731704019752
327,76,0.14125666513799315
325,100,0.05346782047904876
216,277,0.1506495665887678
166,239,0.13284890135157956
601,42,0.15871745260792203
251,164,0.1509676945366711
286,78,0.1671823493351112
251,249,0.0844149192699635
780,119,0.14267814679644553
286,204,0.1025283090528405
411,84,0.05602287156633815
325,95,0.08358138151331662
696,52,0.13527141421217492
312,195,0.15871627376136455
782,132,0.08521612353827117
650,68,0.15099182859548557
156,243,0.10371049018792688
391,30,0.14970487280979172
531,41,0.0817445344075934
150,296,0.11309333054969474
264,186,0.1682898396579846
599,53,0.09405929383424554
791,169,0.1559706770948911
395,97,0.11406552960756326
189,288,0.15286163843946582
548,24,0.0925521293766706
368,44,0.15600850508126904
371,76,0.10177197557212718
416,29,0.10075976699238848
409,90,0.13869874405409008
793,173,0.17208512138562612
740,97,0.10803570779175693
478,75,0.11758424907424372
1221,196,0.04673119489008638
634,76,0.144822461437645
468,58,0.10764898735340306
342,63,0.15049739602369028
492,85,0.10398067764137531
154,290,0.13513056501780468
267,93,0.17017046115556222
811,200,0.1726671852222965
282,87,0.14668110401761025
321,97,0.10737297190855051
728,74,0.13694269499441553
245,247,0.15717772356086188
272,150,0.1518163266339628
214,235,0.15103535885341074
271,191,0.16404896669027763
633,38,0.13570524269216566
251,124,0.09334814973288191
361,49,0.16164992161288758
536,97,0.1525401485803435
160,307,0.14336605442546832
265,104,0.16270756471655154
235,207,0.15406239957425233
424,83,0.15671259436870416
216,336,0.1395229196698586
569,72,0.09029641404705395
259,264,0.15056976552746798
698,73,0.13742432950823755
373,50,0.08682723730613365
555,2,0.16772023578849876
184,323,0.09946004648125052
359,145,0.1363323215002681
642,25,0.15399576697573478
387,103,0.10204325300284882
191,288,0.1603695453340901
187,341,0.09520447412628233
293,218,0.14559792236333524
231,244,0.13538265447763467
559,52,0.06560516442471569
167,239,0.13545664468438792
805,195,0.1696884519789617
622,26,0.08634040230750865
790,168,0.14448555047052508
539,100,0.14505016151059094
163,335,0.14780417356166323
562,99,0.08814495352543486
539,2,0.0504131455404231
252,145,0.08081233844028361
238,259,0.14210890402959012
251,220,0.14163916466429963
693,65,0.0748097500228521
229,245,0.13791319032799343
1221,66,0.04673119489008638
168,239,0.13782711411601473
644,56,0.10807905817005849
304,190,0.09926130406141175
257,212,0.1256612725768344
270,90,0.16440083656990398
309,199,0.13858168435911936
350,56,0.14460174220935101
273,101,0.10028043766556412
350,147,0.13095425470492938
264,257,0.1385792016962512
653,74,0.15105602859174794
448,8,0.15037761975782446
221,248,0.11940210696619996
219,287,0.1294969912579191
568,68,0.08701356316500351
350,175,0.08036527896616896
266,123,0.10665859113402702
776,137,0.08661780506914632
244,285,0.14360787307379
597,37,0.1554275012344581
457,31,0.09986895541728019
604,94,0.16933979133688937
190,326,0.09694220060959302
803,149,0.13784387268603757
774,130,0.10572367102717706
154,245,0.09785673519038479
209,341,0.11969721191838242
381,36,0.14239740248422272
312,96,0.10577304964724193
390,40,0.06397463208356356
308,84,0.16863056777035867
306,167,0.04342329068930669
427,83,0.15046352096880297
197,280,0.15396349463832368
354,173,0.11954559023589581
726,96,0.12085058867966499
204,263,0.0970202428280114
299,84,0.1277225519918569
295,145,0.13675113873079664
596,11,0.16228274700265208
286,130,0.14329840530632412
220,271,0.1457144170378016
245,226,0.1328242537239627
820,198,0.16828167200450572
369,43,0.1517332197304616
176,340,0.08641234127643187
525,91,0.13286902733002737
1221,327,0.04673119489008638
263,251,0.06461914656365111
228,293,0.09861456937781293
355,148,0.12844110760691188
361,174,0.1363775524207306
154,267,0.12092346740740761
359,176,0.13111980474262497
358,176,0.13587615170353054
311,196,0.15258011515937014
359,50,0.15717887245909754
653,57,0.10959166022971749
152,292,0.12221517986276885
545,93,0.08251248968541242
292,89,0.13847604316008338
250,126,0.09390843884262752
387,32,0.1462147684338541
389,31,0.1476409471600706
314,191,0.1612475263586088
299,97,0.08278487246022805
310,98,0.13071794742370876
767,109,0.13439514336533712
491,74,0.14795114383836266
183,339,0.112249976730899
576,7,0.16059735662029928
811,162,0.17221466343141537
625,73,0.11905293180601616
314,145,0.12822645410620578
171,316,0.08724907327930652
531,42,0.08103892383346549
434,52,0.09536584644151598
584,9,0.14978591574254732
